Length,Keywords,KeywordsFreq,InSpcChars,InComment,InWildcards,InEscape,SpcCharsFreq,unionStr,errorBaseStr,boolStr,timeBaseStr,InParam,InEncoding,errorMess,storedProc,unusualChars,hasSubquery,hasMulquery,conditionStm,hasUnusualContent,binaryDataFeature,dbSpecific,httpHeader,Cookies,httpRequest,webRelated,Label
6,1,16.666666666666664,1,0,,0,16.666666666666664,0,0,1,0,0,0,0,0,1.0,0,,0,0,False,0,0,0,0,0,1
6,1,16.666666666666664,1,0,,0,16.666666666666664,0,0,1,0,0,0,0,0,1.0,0,,0,0,False,0,0,0,0,0,1
6,1,16.666666666666664,1,0,,0,16.666666666666664,0,0,1,0,0,0,0,0,1.0,0,,0,0,False,0,0,0,0,0,1
6,1,16.666666666666664,1,0,,0,16.666666666666664,0,0,1,0,0,0,0,0,1.0,0,,0,0,False,0,0,0,0,0,1
7,1,14.285714285714285,2,0,,0,28.57142857142857,0,0,1,0,0,0,0,0,1.0,0,,0,0,False,0,0,0,0,0,1
7,1,14.285714285714285,2,0,,0,28.57142857142857,0,0,1,0,0,0,0,0,1.0,0,,0,0,False,0,0,0,0,0,1
7,1,14.285714285714285,2,0,,0,28.57142857142857,0,0,1,0,0,0,0,0,1.0,0,,0,0,False,0,0,0,0,0,1
7,1,14.285714285714285,2,0,,0,28.57142857142857,0,0,1,0,0,0,0,0,1.0,0,,0,0,False,0,0,0,0,0,1
8,1,12.5,1,0,,0,12.5,0,0,1,0,0,0,0,0,1.0,0,,0,0,False,0,0,0,0,0,1
8,1,12.5,1,0,,0,12.5,0,0,1,0,0,0,0,0,1.0,0,,0,0,False,0,0,0,0,0,1
8,1,12.5,1,0,,0,12.5,0,0,1,0,0,0,0,0,1.0,0,,0,0,False,0,0,0,0,0,1
8,1,12.5,1,0,,0,12.5,0,0,1,0,0,0,0,0,1.0,0,,0,0,False,0,0,0,0,0,1
35,3,8.571428571428571,5,0,,3,14.285714285714285,0,0,1,0,0,0,0,0,1.0,0,,0,0,True,0,0,0,0,0,1
35,3,8.571428571428571,5,0,,3,14.285714285714285,0,0,1,0,0,0,0,0,1.0,0,,0,0,True,0,0,0,0,0,1
