Length,Keywords,KeywordsFreq,InSpcChars,InComment,InWildcards,InEscape,SpcCharsFreq,unionStr,errorBaseStr,boolStr,timeBaseStr,InParam,InEncoding,errorMess,storedProc,unusualChars,hasSubquery,hasMulquery,conditionStm,hasUnusualContent,binaryDataFeature,dbSpecific,httpHeader,Cookies,httpRequest,webRelated,Label
6,1,16.666666666666664,1,0,0,0,16.666666666666664,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
6,1,16.666666666666664,1,0,0,0,16.666666666666664,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
6,1,16.666666666666664,1,0,0,0,16.666666666666664,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
6,1,16.666666666666664,1,0,0,0,16.666666666666664,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
7,1,14.285714285714285,2,0,0,0,28.57142857142857,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
7,1,14.285714285714285,2,0,0,0,28.57142857142857,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
7,1,14.285714285714285,2,0,0,0,28.57142857142857,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
7,1,14.285714285714285,2,0,0,0,28.57142857142857,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
8,1,12.5,1,0,0,0,12.5,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
8,1,12.5,1,0,0,0,12.5,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
8,1,12.5,1,0,0,0,12.5,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
8,1,12.5,1,0,0,0,12.5,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
35,3,8.571428571428571,5,0,0,3,14.285714285714285,0,0,1,0,0,0,0,0,1.0,0,0,0,0,True,0,0,0,0,0,1
35,3,8.571428571428571,5,0,0,3,14.285714285714285,0,0,1,0,0,0,0,0,1.0,0,0,0,0,True,0,0,0,0,0,1
10,2,20.0,1,0,0,0,10.0,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
10,2,20.0,1,0,0,0,10.0,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
11,2,18.181818181818183,2,0,0,0,18.181818181818183,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
11,2,18.181818181818183,2,0,0,0,18.181818181818183,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
12,2,16.666666666666664,1,0,0,0,8.333333333333332,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
12,2,16.666666666666664,1,0,0,0,8.333333333333332,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
7,1,14.285714285714285,1,0,0,0,14.285714285714285,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
7,1,14.285714285714285,1,0,0,0,14.285714285714285,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
9,1,11.11111111111111,1,0,0,0,11.11111111111111,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
9,1,11.11111111111111,1,0,0,0,11.11111111111111,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
8,1,12.5,2,0,0,0,25.0,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
8,1,12.5,2,0,0,0,25.0,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
17,1,5.88235294117647,6,0,1,4,35.294117647058826,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
17,1,5.88235294117647,6,0,1,4,35.294117647058826,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
28,1,3.571428571428571,3,0,0,0,10.714285714285714,0,0,1,0,0,0,0,0,1.0,0,0,0,0,True,0,0,0,0,0,1
28,1,3.571428571428571,3,0,0,0,10.714285714285714,0,0,1,0,0,0,0,0,1.0,0,0,0,0,True,0,0,0,0,0,1
29,1,3.4482758620689653,4,0,0,1,13.793103448275861,0,0,1,0,0,0,0,0,1.0,0,0,0,0,True,0,0,0,0,0,1
29,1,3.4482758620689653,4,0,0,1,13.793103448275861,0,0,1,0,0,0,0,0,1.0,0,0,0,0,True,0,0,0,0,0,1
30,1,3.3333333333333335,5,0,0,3,16.666666666666664,0,0,1,0,0,0,0,0,1.0,0,0,0,0,True,0,0,0,0,0,1
30,1,3.3333333333333335,5,0,0,3,16.666666666666664,0,0,1,0,0,0,0,0,1.0,0,0,0,0,True,0,0,0,0,0,1
31,1,3.225806451612903,6,0,0,3,19.35483870967742,0,0,1,0,0,0,0,0,1.0,0,0,0,0,True,0,0,0,0,0,1
31,1,3.225806451612903,6,0,0,3,19.35483870967742,0,0,1,0,0,0,0,0,1.0,0,0,0,0,True,0,0,0,0,0,1
28,3,10.714285714285714,2,0,0,0,7.142857142857142,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
28,3,10.714285714285714,2,0,0,0,7.142857142857142,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
29,3,10.344827586206897,3,0,0,0,10.344827586206897,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
29,3,10.344827586206897,3,0,0,0,10.344827586206897,0,0,1,0,0,0,0,0,1.0,0,0,0,0,False,0,0,0,0,0,1
